ngramme	nfeatures	precision	test_time
1	3000	68.71	0.58
1	6000	65.23	0.58
1	9000	65.23	0.60
1	12000	63.58	0.59
1	15000	63.08	0.60
1	18000	63.08	0.60
1	21000	63.08	0.60
1	24000	63.08	0.60
1	27000	63.08	0.60
1	30000	63.08	0.60
2	3000	71.85	1.46
2	6000	71.69	1.48
2	9000	70.86	1.49
2	12000	69.37	1.47
2	15000	69.54	1.47
2	18000	69.70	1.48
2	21000	69.21	1.48
2	24000	68.21	1.48
2	27000	67.22	1.47
2	30000	66.89	1.48
3	3000	71.36	2.74
3	6000	71.36	2.71
3	9000	71.19	2.70
3	12000	70.36	2.77
3	15000	69.87	2.70
3	18000	69.54	2.73
3	21000	69.54	2.72
3	24000	68.87	2.74
3	27000	68.38	2.74
3	30000	68.05	2.76
